n,k,t
251,4,6156.73545816733
261,4,6500.96475095785
271,4,6710.28929889299
281,4,7159.32384341637
291,4,7296.36529209622
301,4,7501.78936877076
311,4,7750.39003215434
321,4,8034.91962616822
331,4,8399.34803625378
341,4,8631.07302052786
351,4,8750.48376068376
361,4,9068.4243767313
371,4,9401.81805929919
381,4,9600.15669291339
391,4,9768.34910485934
401,4,10183.0189526185
411,4,10466.8588807786
421,4,10424.7897862233
431,4,10909.7642691415
441,4,11133.5115646259
451,4,11659.4549889135
461,4,11732.3440347072
471,4,11940.0898089172
481,4,12035.0673596674
491,4,12388.6289205703
501,4,12397.5413173653
1,5,159.4
11,5,237.863636363636
21,5,353.22380952381
31,5,551.9
41,5,755.082926829268
51,5,903.019607843137
61,5,1155.63606557377
71,5,1387.12957746479
81,5,1581.58395061728
91,5,1683.08241758242
101,5,2078.6
111,5,2181.03693693694
121,5,2489.91818181818
131,5,2646.11221374046
141,5,2974.52553191489
151,5,3188.42516556291
161,5,3370.19068322981
171,5,3551.70584795322
181,5,3795.34696132597
191,5,4052.93089005236
201,5,4080.08606965174
211,5,4428.15308056872
221,5,4648.04479638009
231,5,4934.67532467533
241,5,4956.34439834025
251,5,5200.38366533865
261,5,5531.72643678161
271,5,5640.68339483395
281,5,6015.75195729537
291,5,6189.40206185567
301,5,6314.19069767442
311,5,6548.35819935691
321,5,6782.27289719626
331,5,7125.39607250755
341,5,7256.43225806452
351,5,7492.38774928775
361,5,7670.7540166205
371,5,7938.99433962264
381,5,8135.10734908137
391,5,8250.05754475703
401,5,8556.00548628429
411,5,8856.90170316302
421,5,8816.25534441805
431,5,9200.3030162413
441,5,9501.82675736961
451,5,9846.27716186253
461,5,9926.62190889371
471,5,10139.1271762208
481,5,10204.472972973
491,5,10509.4260692464
501,5,10577.0506986028
1,50,159.4
11,50,230.027272727273
21,50,280.9
31,50,374.741935483871
41,50,502.243902439024
51,50,606.733333333333
61,50,757.208196721311
71,50,931.546478873239
81,50,1028.5049382716
91,50,1150.26483516484
101,50,1353.09306930693
111,50,1452.90810810811
121,50,1620.10495867769
131,50,1745.73893129771
141,50,1963.64964539007
151,50,2128.00331125828
161,50,2224.8049689441
171,50,2371.54093567251
181,50,2482.08011049724
191,50,2697.71256544503
201,50,2657.5631840796
211,50,2962.30236966825
221,50,3037.44751131222
231,50,3283.89177489177
241,50,3264.23443983402
251,50,3421.32629482072
261,50,3622.3816091954
271,50,3725.64870848709
281,50,3986.77793594306
291,50,4097.04810996564
301,50,4139.35581395349
311,50,4345.21704180064
321,50,4438.26635514019
331,50,4689.64894259819
341,50,4744.53137829912
351,50,4929.45811965812
361,50,5081.13850415512
371,50,5232.94959568733
381,50,5331.95223097113
391,50,5486.10997442455
401,50,5664.77705735661
411,50,5885.3496350365
421,50,5839.66199524941
431,50,6102.62180974478
441,50,6278.08344671202
451,50,6552.8623059867
461,50,6597.04924078091
471,50,6722.08174097665
481,50,6813.34428274428
491,50,7004.216700611
501,50,6981.45908183633
